ip,anonblock,proxy,vpn,cdn,public-wifi,rangeblock,school-block,tor,webhost
1.212.157.114,False,True,False,False,False,False,False,False,True
1.217.165.134,False,True,False,False,False,False,False,False,False
1.220.90.182,False,True,False,False,False,False,False,False,False
1.221.151.52,False,True,False,False,False,False,False,False,False
1.222.172.165,False,True,False,False,False,False,False,False,False
1.223.113.29,False,True,False,False,False,False,False,False,False
1.224.241.184,False,True,False,False,False,False,False,False,False
1.225.17.235,False,True,False,False,False,False,False,False,False
1.225.167.39,False,True,False,False,False,False,False,False,False
1.225.241.39,False,True,False,False,False,False,False,False,False
1.226.8.88,False,True,False,False,False,False,False,False,False
1.226.108.163,False,True,False,False,False,False,False,False,False
1.226.109.249,False,True,False,False,False,False,False,False,False
1.226.132.16,False,True,True,False,False,False,False,False,False
1.227.53.92,False,True,False,False,False,False,False,False,False
1.227.148.34,False,True,False,False,False,False,False,False,False
1.227.180.92,False,True,False,False,False,False,False,False,False
1.228.23.194,False,True,False,False,False,False,False,False,False
1.229.118.162,False,True,False,False,False,False,False,False,False
1.230.51.110,False,True,False,False,False,False,False,False,False
1.230.90.116,False,True,False,False,False,False,False,False,False
1.230.188.36,False,True,False,False,False,False,False,False,False
1.230.202.43,False,True,True,False,False,False,False,False,False
1.230.235.51,False,True,False,False,False,False,False,False,False
1.231.62.105,False,True,True,False,False,False,False,False,True
1.231.81.166,False,True,False,False,False,False,False,False,False
1.231.124.158,False,True,False,False,False,False,False,False,False
1.232.90.246,False,True,False,False,False,False,False,False,False
1.232.253.166,False,True,False,False,False,False,False,False,False
1.234.134.66,False,True,False,False,False,False,False,False,False
1.234.213.197,False,True,False,False,False,False,False,False,False
1.235.242.149,False,True,False,False,False,False,False,False,False
1.235.245.146,False,True,False,False,False,False,False,False,False
1.236.29.27,False,True,False,False,False,False,False,False,False
1.236.87.41,False,True,False,False,False,False,False,False,False
1.236.146.57,False,True,False,False,False,False,False,False,False
1.236.228.238,False,True,False,False,False,False,False,False,False
1.237.1.68,False,True,False,False,False,False,False,False,False
1.237.182.174,False,True,False,False,False,False,False,False,False
1.237.200.204,False,True,False,False,False,False,False,False,False
1.237.213.104,False,True,False,False,False,False,False,False,False
1.238.83.71,False,True,False,False,False,False,False,False,False
1.238.83.124,False,True,False,False,False,False,False,False,False
1.239.79.205,False,True,False,False,False,False,False,False,False
1.239.163.26,False,True,True,False,False,False,False,False,False
1.240.44.23,False,True,False,False,False,False,False,False,False
1.240.44.87,False,True,False,False,False,False,False,False,False
1.240.50.7,False,True,False,False,False,False,False,False,False
1.240.50.8,False,True,False,False,False,False,False,False,False
1.240.128.118,False,True,False,False,False,False,False,False,False
1.240.225.206,False,True,False,False,False,False,False,False,False
1.241.4.195,False,True,False,False,False,False,False,False,False
1.241.19.45,False,True,False,False,False,False,False,False,False
1.241.29.211,False,True,False,False,False,False,False,False,False
1.241.38.219,False,True,False,False,False,False,False,False,False
1.241.54.99,False,True,False,False,False,False,False,False,False
1.241.129.177,False,True,False,False,False,False,False,False,False
1.241.203.45,False,True,False,False,False,False,False,False,False
1.241.239.14,False,True,False,False,False,False,False,False,False
1.243.127.70,False,True,False,False,False,False,False,False,False
1.243.207.106,False,True,False,False,False,False,False,False,False
1.244.137.180,False,True,False,False,False,False,False,False,False
1.244.215.202,False,True,True,False,False,False,False,False,False
1.246.68.5,False,True,False,False,False,False,False,False,False
1.246.154.63,False,True,False,False,False,False,False,False,True
1.246.154.67,False,True,False,False,False,False,False,False,False
1.246.235.166,False,True,False,False,False,False,False,False,False
1.247.139.230,False,True,False,False,False,False,False,False,False
1.248.235.117,False,True,False,False,False,False,False,False,False
1.249.76.146,False,True,False,False,False,False,False,False,False
1.251.45.198,False,True,False,False,False,False,False,False,False
1.251.221.121,False,True,False,False,False,False,False,False,False
1.252.98.75,False,True,False,False,False,False,False,False,False
1.252.99.217,False,True,False,False,False,False,False,False,False
1.252.158.137,False,True,False,False,False,False,False,False,False
1.254.74.183,False,True,False,False,False,False,False,False,False
2.16.0.0/16,False,True,False,False,False,False,False,False,False
2.17.0.0/16,False,True,False,True,False,False,False,False,False
2.18.0.0/16,False,True,False,False,False,False,False,False,False
2.19.0.0/16,False,True,False,False,False,False,False,False,False
2.20.0.0/16,False,True,False,False,False,False,False,False,False
2.21.0.0/16,False,True,False,False,False,False,False,False,False
2.22.0.0/16,False,True,False,False,False,False,False,False,False
2.23.0.0/16,False,True,False,True,False,False,False,False,False
2.26.0.0/16,False,True,False,False,False,False,False,False,True
2.27.0.0/16,False,True,False,False,False,False,False,False,True
2.28.0.0/16,False,True,False,False,False,False,False,False,False
2.29.0.0/16,False,True,False,False,False,False,False,False,False
2.39.113.191,False,True,False,False,False,False,False,False,False
2.49.31.0/24,False,True,False,False,False,False,False,False,False
2.50.28.224,False,False,True,False,False,False,False,False,False
2.56.8.0/23,False,True,False,False,False,False,False,False,False
2.56.16.0/22,False,True,False,False,False,False,False,False,True
2.56.20.0/22,False,True,False,False,False,False,False,False,True
2.56.32.0/22,False,True,False,False,False,False,False,False,True
2.56.44.0/22,False,True,False,False,False,False,False,False,True
2.56.48.0/22,False,True,False,False,False,False,False,False,True
2.56.72.0/22,False,True,False,False,False,False,False,False,True
2.56.96.0/22,False,True,False,False,False,False,False,False,True
2.56.100.0/23,False,True,False,False,False,False,False,False,True
